Index,Date,ClockTime,RawTime,TraceSampID,BB1:INT,BB2:INT,BB3:INT,BB4:INT,BB5:INT,BB6:INT,BB7:INT,BB8:INT,BP1:LREAL,BP2:LREAL,BB13:INT
81,1970-01-01,11:47:40.28,42460279730145,,770,760,770,770,770,760,760,760,0,"4,891302",103
82,1970-01-01,11:47:40.38,42460379765945,,770,760,770,770,770,760,760,760,0,"4,891302",103
83,1970-01-01,11:47:40.48,42460479761160,,770,760,770,770,770,760,760,760,0,"4,891302",103
84,1970-01-01,11:47:40.58,42460579748220,,770,760,770,770,770,760,760,760,0,"4,891302",102
85,1970-01-01,11:47:40.68,42460679729935,,770,760,770,770,770,760,770,760,0,"4,891302",103
86,1970-01-01,11:47:40.78,42460779724850,,770,760,770,770,770,760,770,760,0,"4,891302",103
87,1970-01-01,11:47:40.88,42460879715070,,770,760,770,770,770,760,760,760,0,"4,891302",104
88,1970-01-01,11:47:40.98,42460979714060,,770,760,770,770,770,760,770,760,0,"4,891302",103
89,1970-01-01,11:47:41.08,42461079725040,,770,760,770,770,770,760,760,760,0,"4,891302",103
90,1970-01-01,11:47:41.18,42461179754665,,770,760,770,770,770,760,770,760,0,"4,891302",103
91,1970-01-01,11:47:41.28,42461279763145,,770,770,770,770,770,760,760,760,0,"4,891302",103
92,1970-01-01,11:47:41.38,42461379733655,,770,760,770,770,770,760,770,760,0,"4,891302",103
93,1970-01-01,11:47:41.48,42461479777045,,770,760,770,770,770,760,770,760,0,"4,891302",103
94,1970-01-01,11:47:41.58,42461579757940,,770,760,770,770,770,760,760,760,0,"4,891302",103
95,1970-01-01,11:47:41.68,42461679724040,,770,760,770,770,770,770,760,760,0,"4,891302",102
96,1970-01-01,11:47:41.78,42461779772090,,770,760,770,770,770,760,760,760,0,"4,891302",103
97,1970-01-01,11:47:41.88,42461879744290,,770,760,770,770,770,760,760,760,0,"4,891302",103
98,1970-01-01,11:47:41.98,42461979767620,,770,760,770,770,770,760,770,760,0,"4,891302",104
99,1970-01-01,11:47:42.08,42462079767620,,770,760,770,770,770,760,770,760,0,"4,891302",103
100,1970-01-01,11:47:42.18,42462179770130,,770,760,770,770,770,760,770,760,0,"4,891302",104
101,1970-01-01,11:47:42.28,42462279725205,,770,760,770,770,770,760,770,760,0,"4,891302",103
102,1970-01-01,11:47:42.38,42462379712915,,770,760,770,770,770,760,760,760,0,"4,891302",102
103,1970-01-01,11:47:42.48,42462479713095,,770,760,770,770,770,760,770,760,0,"4,891302",102
104,1970-01-01,11:47:42.58,42462579735175,,770,760,770,770,770,760,760,760,0,"4,891302",103
105,1970-01-01,11:47:42.68,42462679723775,,770,760,770,770,770,760,760,760,0,"4,891302",103
106,1970-01-01,11:47:42.78,42462779725810,,770,760,770,770,770,770,760,760,0,"4,891302",103
107,1970-01-01,11:47:42.88,42462879728355,,770,760,770,770,770,770,770,760,0,"4,891302",103
108,1970-01-01,11:47:42.98,42462979762830,,770,760,770,770,770,760,760,760,0,"4,891302",104
109,1970-01-01,11:47:43.08,42463079754840,,770,760,770,770,770,760,760,760,0,"4,891302",103
110,1970-01-01,11:47:43.18,42463179760885,,770,760,770,770,770,760,760,760,0,"4,891302",102
111,1970-01-01,11:47:43.28,42463279765125,,770,760,770,770,770,760,770,760,"0,815217","4,891302",103
112,1970-01-01,11:47:43.38,42463379726525,,770,760,770,770,770,760,770,760,0,"4,891302",103
113,1970-01-01,11:47:43.48,42463479773745,,770,760,770,770,770,760,760,760,0,"4,891302",102
114,1970-01-01,11:47:43.58,42463579765165,,770,760,770,770,770,760,760,760,0,"4,891302",103
115,1970-01-01,11:47:43.68,42463679732880,,770,760,770,770,770,760,770,760,0,"4,891302",103
116,1970-01-01,11:47:43.78,42463779706390,,770,760,770,770,770,760,770,760,0,"4,891302",103
117,1970-01-01,11:47:43.88,42463879724570,,770,760,770,770,770,760,770,760,0,"4,891302",103
118,1970-01-01,11:47:43.98,42463979707870,,770,760,770,770,770,760,760,760,0,"4,891302",103
119,1970-01-01,11:47:44.08,42464079707635,,770,760,770,770,770,760,760,760,0,"4,891302",102
120,1970-01-01,11:47:44.18,42464179764980,,770,760,770,770,770,760,760,760,0,"4,891302",102
121,1970-01-01,11:47:44.28,42464279709510,,770,760,770,770,770,760,770,760,0,"4,891302",103
122,1970-01-01,11:47:44.38,42464379720225,,770,760,770,770,770,760,770,760,0,"4,891302",103
123,1970-01-01,11:47:44.48,42464479756145,,770,760,770,770,770,760,770,760,0,"4,891302",103
124,1970-01-01,11:47:44.58,42464579768625,,770,760,770,770,770,760,770,760,0,"4,891302",103
125,1970-01-01,11:47:44.68,42464679724615,,770,760,770,770,770,760,770,760,0,"4,891302",103
126,1970-01-01,11:47:44.78,42464779729800,,770,760,770,770,770,760,760,760,0,"4,891302",104
127,1970-01-01,11:47:44.88,42464879760995,,770,760,770,770,770,760,760,760,0,"4,891302",104
128,1970-01-01,11:47:44.98,42464979717260,,770,760,770,770,770,760,760,760,0,"4,891302",103
